name	name_ru	link	type	type_ru	subtype	subtype_ru	place	place_ru	lat	lon	lang
Corpus of Karelian Russian	Корпус русской речи Карелии	http://lingconlab.ru/karelrus/ 	corpus	корпус	bilingual	билингвальный	Kinerma	Кинерма	61.52887060798247	32.82902349213565	Russian
Corpus of Karelian Russian	Корпус русской речи Карелии	http://lingconlab.ru/karelrus/ 	corpus	корпус	bilingual	билингвальный	Kostomuksha	Костомукша	64.62560509504215	30.599377753857	Russian
Corpus of the Russian dialect spoken in the village Malinino	Корпус говора села Малинино	http://lingconlab.ru/malinino/	corpus	корпус	dialectal	диалектный	Malinino	Малинино	52.29714519222322	39.34909665122833	Russian
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Mallakent	Маллакент	42.17312020318571	47.7944906228771	Russian
Corpus of Russian spoken in Chuvashia	Корпус русской речи Чувашии	http://lingconlab.ru/ChuvashRus/	corpus	корпус	bilingual	билингвальный	Maloye Karachkino	Малое Карачкино	56.15800108716516	46.76070423415941	Russian
Corpus of the Russian dialect spoken in Khislavichi district	Корпус говора Хиславичского района	http://lingconlab.ru/khislavichi/	corpus	корпус	dialectal	диалектный	Malye Khutora	Малые Хутора	54.12557364704443	32.00218658454533	Russian
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Makhachkala	Махачкала	42.97836308907811	47.482824926647545	Russian
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Megeb	Мегеб	42.2528	47.0472	Russian
Dictionary of the Mehweb language	Словарь мегебского языка	http://lingconlab.ru/MehwebDict/	dictionary	словарь	dictionary	словарь	Megeb	Мегеб	42.2568	47.0512	Megeb
Ustja River Basin Corpus	Корпус устьянских говоров	http://www.parasolcorpus.org/Pushkino/login.php	corpus	корпус	dialectal	диалектный	Mikhalevskaya	Михалёвская	61.50111115516853	42.65695604008497	Russian
Corpus of the Russian dialect spoken in Nekhochi	Корпус говора деревни Нехочи	http://lingconlab.ru/nekhochi/	corpus	корпус	dialectal	диалектный	Nekhochi	Нехочи	53.439272724060935	34.926708849641805	Russian
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Nikar	Никар	42.07520382467372	46.41179386997629	Russian
Corpus of Karelian Russian	Корпус русской речи Карелии	http://lingconlab.ru/karelrus/ 	corpus	корпус	bilingual	билингвальный	Petrozavodsk	Петрозаводск	61.88543861887711	34.35907973607885	Russian
Corpus of Karelian Russian	Корпус русской речи Карелии	http://lingconlab.ru/karelrus/ 	corpus	корпус	bilingual	билингвальный	Pryazha	Пряжа	61.69981974626655	33.621921920011644	Russian
Corpus of Opochetsky dialects	Корпус опочецких говоров	http://lingconlab.ru/opochka	corpus	корпус	dialectal	диалектный	Purshevo	Пуршево	56.77160878586318	28.670693431337515	Russian
Spoken corpus of Adyghe	Устный корпус адыгейского языка	http://lingconlab.ru/spoken_adyghe/	corpus	корпус	minority	малых языков	Pshicho	Пшичо	45.06402029925006	40.17600355381339	Adyghe
Spoken corpus of Bashkir	Устный корпус башкирского языка	http://lingconlab.ru/spoken_bashkir/	corpus	корпус	minority	малых языков	Rakhmetovo	Рахметово	53.82462214311561	58.886474809708155	Bashkir
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Rikvani	Риквани	42.7814853152129	46.317422796420594	Russian
Corpus of Rogovatka dialect	Корпус говора села Роговатка	http://lingconlab.ru/rogovatka/	corpus	корпус	dialectal	диалектный	Rogovatoye	Роговатое	51.25013418106378	38.3774542925194	Russian
Corpus of the Russian dialect spoken in Khislavichi district	Корпус говора Хиславичского района	http://lingconlab.ru/khislavichi/	corpus	корпус	dialectal	диалектный	Soino	Соино	53.97977413895118	31.9937206687928	Russian
Corpus of Spiridonova Buda dialect	Корпус говора села Спиридонова Буда	http://lingconlab.ru/SpiridonovaBuda/	corpus	корпус	dialectal	диалектный	Spiridonova Buda	Спиридонова Буда	52.2960319548886	31.78794776299452	Russian
Corpus of the Russian dialect spoken in Khislavichi district	Корпус говора Хиславичского района	http://lingconlab.ru/khislavichi/	corpus	корпус	dialectal	диалектный	Stajki	Стайки	54.13313367449966	32.01403530693449	Russian
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Tlibisho	Тлибишо	42.56102793467349	46.30162992506851	Russian
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Tukita	Тукита	42.57056	46.37278	Russian
Dictionary of the Tukita language	Словарь тукитинского языка	http://lingconlab.ru/TukitaDict/	dictionary	словарь	dictionary	словарь	Tukita	Тукита	42.57076	46.37298	Karata
Spoken Corpus of the Besleney Dialect of East Circassian	Устный корпус бесленеевского диалекта кабардино-черкесского языка	http://lingconlab.ru/spoken_besleney/	corpus	корпус	minority	малых языков	Ulyap	Уляп	45.053666519407265	39.94593253974448	Kabardian
Spoken corpus of Adyghe	Устный корпус адыгейского языка	http://lingconlab.ru/spoken_adyghe/	corpus	корпус	minority	малых языков	Khatazhukay	Хатажукай	45.07688950523018	40.18626859273333	Adyghe
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Khiv	Хив	41.751611551643585	47.92894776881094	Russian
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Cukhta	Цухта	42.34340660808177	47.32975273484241	Russian
